时间,蒸汽开度/%,釜温,中温,顶温,回流比,精馏釜液位/cm,V02121A液位/cm,V02122A液位/cm,V02123A液位/cm,V02123B液位/cm,time_delta_hours,time_diff_hours
2023-03-24 18:00:00,75.0,82.48,76.47,71.8,10.0,129.0,7.0,112.0,61.0,83.0,0.0,1.0
2023-03-24 19:00:00,75.0,82.73,74.54,72.81,10.0,126.0,7.0,130.0,61.0,83.0,1.0,1.0
2023-03-24 21:00:00,75.0,82.85,74.41,73.89,8.0,123.0,10.0,134.0,61.0,83.0,2.0,1.0
2023-03-24 22:00:00,75.0,82.93,74.34,74.08,8.0,121.0,33.0,134.0,61.0,83.0,3.0,1.0
2023-03-24 23:00:00,75.0,82.97,74.47,73.97,5.0,117.0,39.0,134.0,75.0,83.0,4.0,1.0
2023-03-25 00:00:00,75.0,83.09,74.47,74.1,3.0,115.0,39.0,134.0,111.0,83.0,5.0,1.0
2023-03-25 02:00:00,75.0,83.4,74.45,74.12,3.0,107.0,39.0,134.0,189.0,83.0,6.0,1.0
2023-03-25 04:00:00,75.0,83.84,74.47,74.15,3.0,99.0,39.0,134.0,271.0,83.0,7.0,1.0
2023-03-25 05:00:00,75.0,84.0,74.41,74.16,16.0,97.0,39.0,134.0,55.0,85.0,8.0,1.0
2023-03-25 06:00:00,75.0,84.1,74.47,74.15,3.0,95.0,39.0,134.0,31.0,89.0,9.0,1.0
2023-03-25 07:00:00,75.0,84.47,74.54,74.12,3.0,84.0,39.0,134.0,69.0,89.0,10.0,1.0
2023-03-25 11:00:00,85.0,86.6,74.73,74.06,3.0,74.0,39.0,135.0,248.0,89.0,11.0,1.0
2023-03-25 14:00:00,85.0,92.37,74.87,74.24,5.0,65.0,39.0,135.0,85.0,99.0,12.0,1.0
2023-03-25 16:00:00,85.0,100.02,75.48,74.15,16.0,61.0,39.0,135.0,139.0,99.0,13.0,1.0
2023-03-25 17:00:00,85.0,100.94,77.34,74.1,2.0,59.0,41.0,135.0,155.0,99.0,14.0,1.0
2023-03-26 17:00:00,70.0,82.55,74.48,74.48,10.0,122.0,7.0,152.0,9.0,99.0,15.0,1.0
2023-03-26 18:00:00,70.0,82.65,74.42,73.25,10.0,121.0,7.0,166.0,9.0,99.0,16.0,1.0
2023-03-26 20:00:00,70.0,82.7,74.34,73.96,8.0,118.0,10.0,166.0,9.0,99.0,17.0,1.0
2023-03-26 21:00:00,70.0,82.8,74.41,74.04,5.0,117.0,27.0,166.0,9.0,99.0,18.0,1.0
2023-03-26 23:00:00,75.0,83.14,74.48,74.17,5.0,111.0,27.0,166.0,65.0,99.0,19.0,1.0
2023-03-27 00:00:00,75.0,83.24,74.41,74.17,3.0,108.0,27.0,166.0,97.0,97.0,20.0,1.0
2023-03-27 01:00:00,75.0,83.42,74.47,74.17,3.0,104.0,27.0,166.0,137.0,97.0,21.0,1.0
2023-03-27 03:00:00,75.0,83.89,74.54,74.11,3.0,96.0,27.0,166.0,229.0,97.0,22.0,1.0
2023-03-27 05:00:00,75.0,84.27,74.42,74.1,16.0,89.0,27.0,165.0,293.0,103.0,23.0,1.0
2023-03-27 06:00:00,75.0,84.43,74.41,74.09,3.0,88.0,27.0,164.0,292.0,107.0,24.0,1.0
2023-03-27 08:00:00,75.0,85.28,74.54,74.07,3.0,80.0,27.0,164.0,121.0,107.0,25.0,1.0
2023-03-27 09:30:00,76.0,86.15,74.54,74.06,5.0,74.0,27.0,167.0,181.0,107.0,26.0,1.0
2023-03-27 11:00:00,76.0,87.37,74.4,74.0,4.0,72.0,27.0,167.0,223.0,107.0,27.0,1.0
2023-03-27 12:00:00,76.0,89.18,74.41,74.0,3.0,69.0,27.0,167.0,265.0,107.0,28.0,1.0
2023-03-27 14:30:00,76.0,94.77,74.48,73.97,6.0,66.0,27.0,167.0,17.0,115.0,29.0,1.0
2023-03-27 16:00:00,76.0,98.21,74.68,73.99,16.0,64.0,27.0,167.0,39.0,115.0,30.0,1.0
2023-03-28 17:02:00,65.0,82.1,74.28,72.75,10.0,123.0,7.0,184.0,61.0,115.0,31.0,1.0
2023-03-28 19:00:00,70.0,82.82,74.28,73.72,8.0,120.0,7.0,188.0,61.0,115.0,32.0,1.0
2023-03-28 20:00:00,70.0,82.86,74.28,73.8,8.0,119.0,23.0,188.0,61.0,113.0,33.0,1.0
2023-03-28 21:00:00,70.0,83.02,74.28,74.02,8.0,117.0,41.0,188.0,61.0,113.0,34.0,1.0
2023-03-28 23:00:00,75.0,83.39,74.41,74.1,16.0,110.0,45.0,186.0,121.0,113.0,35.0,1.0
2023-03-29 00:12:00,75.0,83.44,74.34,74.09,5.0,108.0,45.0,186.0,137.0,113.0,36.0,1.0
2023-03-29 01:02:00,75.0,83.46,74.28,74.03,3.0,107.0,45.0,186.0,157.0,113.0,37.0,1.0
2023-03-29 02:56:00,75.0,83.81,74.41,74.02,3.0,100.0,45.0,186.0,229.0,113.0,38.0,1.0
2023-03-29 03:56:00,75.0,84.05,74.34,74.41,3.0,96.0,45.0,186.0,273.0,113.0,39.0,1.0
2023-03-29 07:00:00,77.0,85.15,74.33,73.97,3.0,85.0,45.0,186.0,103.0,123.0,40.0,1.0
2023-03-29 08:00:00,77.0,85.72,74.41,74.02,3.0,81.0,45.0,188.0,149.0,123.0,41.0,1.0
2023-03-29 09:00:00,78.0,86.56,74.54,73.85,3.0,76.0,45.0,188.0,193.0,125.0,42.0,1.0
2023-03-29 11:00:00,79.0,89.21,74.48,73.85,4.0,71.0,45.0,188.0,283.0,125.0,43.0,1.0
2023-03-29 11:20:00,79.0,89.75,74.55,73.85,16.0,70.0,45.0,188.0,293.0,125.0,44.0,1.0
2023-03-29 14:00:00,79.0,95.2,74.54,73.84,6.0,66.0,45.0,188.0,67.0,137.0,45.0,1.0
2023-03-29 15:00:00,79.0,98.58,74.95,73.84,16.0,64.5,45.0,188.0,91.0,137.0,46.0,1.0
2023-03-29 16:00:00,79.0,100.06,76.49,73.91,16.0,63.0,47.0,190.0,107.0,137.0,47.0,1.0
2023-03-30 09:00:00,75.0,83.23,74.7,72.8,10.0,123.0,7.0,208.0,11.0,136.0,48.0,1.0
2023-03-30 11:00:00,75.0,83.33,74.47,73.83,8.0,118.0,16.0,212.0,11.0,136.0,49.0,1.0
2023-03-30 12:00:00,75.0,83.45,74.48,74.01,8.0,117.0,37.0,212.0,11.0,136.0,50.0,1.0
2023-03-30 13:00:00,75.0,83.61,74.54,74.02,3.0,112.0,41.0,214.0,49.0,136.0,51.0,1.0
2023-03-30 15:00:00,75.0,83.95,74.48,74.04,3.0,105.0,41.0,214.0,135.0,136.0,52.0,1.0
2023-03-30 17:00:00,75.0,84.57,74.62,74.06,3.0,97.0,41.0,214.0,229.0,136.0,53.0,1.0
2023-03-30 18:00:00,75.0,84.84,74.56,74.01,3.0,93.0,41.0,214.0,271.0,136.0,54.0,1.0
2023-03-30 21:00:00,75.0,85.67,74.52,74.21,3.0,86.0,41.0,212.0,61.0,146.0,55.0,1.0
2023-03-30 22:00:00,75.0,86.21,74.62,74.26,3.0,83.0,41.0,212.0,105.0,146.0,56.0,1.0
2023-03-31 00:08:00,75.0,88.03,74.68,74.13,3.0,75.0,41.0,212.0,189.0,146.0,57.0,1.0
2023-03-31 02:57:00,76.0,94.0,74.69,74.19,8.0,67.0,41.0,212.0,295.0,151.0,58.0,1.0
2023-03-31 04:01:00,76.0,96.52,74.69,74.19,8.0,66.0,41.0,212.0,17.0,167.0,59.0,1.0
2023-04-01 11:00:00,75.0,83.3,74.49,73.66,8.0,124.0,7.0,77.0,51.0,167.0,60.0,1.0
2023-04-01 13:00:00,75.0,83.35,74.43,74.01,8.0,119.0,39.0,77.0,52.0,167.0,61.0,1.0
2023-04-01 15:00:00,75.0,83.73,74.42,74.0,3.0,112.0,49.0,77.0,107.0,167.0,62.0,1.0
2023-04-01 16:09:00,75.0,83.89,74.49,74.09,3.0,108.0,49.0,77.0,161.0,167.0,63.0,1.0
2023-04-01 18:06:00,75.0,84.36,74.48,73.7,3.0,101.0,49.0,77.0,246.0,167.0,64.0,1.0
2023-04-01 19:26:00,75.0,84.74,74.42,74.1,8.0,97.0,49.0,77.0,295.0,167.0,65.0,1.0
2023-04-01 20:54:00,76.0,85.2,74.55,74.11,3.0,92.0,49.0,77.0,43.0,177.0,66.0,1.0
2023-04-02 00:00:00,76.0,86.85,74.55,74.11,3.0,80.0,49.0,77.0,181.0,177.0,67.0,1.0
2023-04-02 02:00:00,78.0,88.83,74.55,73.99,4.0,74.0,49.0,77.0,257.0,177.0,68.0,1.0
2023-04-02 03:00:00,78.0,90.09,74.42,73.99,16.0,72.0,49.0,77.0,291.0,177.0,69.0,1.0
2023-04-02 05:00:00,78.0,93.07,74.55,73.99,5.0,69.0,49.0,77.0,45.0,189.0,70.0,1.0
2023-04-02 07:00:00,78.0,98.33,74.95,73.98,16.0,66.0,49.0,77.0,97.0,189.0,71.0,1.0
2023-04-02 08:36:00,78.0,99.06,77.15,73.98,16.0,64.0,49.0,77.0,119.0,189.0,72.0,1.0
2023-04-03 08:00:00,75.0,83.19,74.29,72.54,8.0,121.0,7.0,107.0,9.0,189.0,73.0,1.0
2023-04-03 10:00:00,75.0,83.22,74.29,73.61,8.0,117.0,13.0,107.0,9.0,189.0,74.0,1.0
2023-04-03 11:00:00,75.0,83.28,74.21,73.76,8.0,115.0,33.0,107.0,9.0,189.0,75.0,1.0
2023-04-03 12:00:00,75.0,83.5,74.35,73.82,5.0,111.0,33.0,107.0,45.0,189.0,76.0,1.0
2023-04-03 14:00:00,75.0,83.88,74.29,73.82,3.0,104.0,33.0,107.0,129.0,189.0,77.0,1.0
2023-04-03 15:00:00,77.0,84.21,74.35,73.82,3.0,99.0,33.0,107.0,172.0,189.0,78.0,1.0
2023-04-03 16:05:00,79.0,84.64,74.48,73.89,3.0,95.0,33.0,107.0,221.0,189.0,79.0,1.0
2023-04-03 17:00:00,79.0,85.02,74.41,73.89,3.0,91.0,33.0,107.0,265.0,189.0,80.0,1.0
2023-04-03 18:02:00,79.0,85.55,74.47,73.89,8.0,88.0,33.0,107.0,303.0,189.0,81.0,1.0
2023-04-03 19:59:00,79.0,86.47,74.54,73.88,3.0,81.0,33.0,107.0,73.0,205.0,82.0,1.0
2023-04-03 21:59:00,79.0,88.29,74.47,73.94,3.0,74.0,33.0,107.0,163.0,205.0,83.0,1.0
2023-04-04 00:05:00,79.0,91.85,74.54,74.54,5.0,70.0,33.0,107.0,237.0,205.0,84.0,1.0
2023-04-04 02:00:00,79.0,95.97,74.67,74.0,8.0,67.0,33.0,107.0,285.0,205.0,85.0,1.0
2023-04-04 03:00:00,79.0,97.56,74.68,73.93,8.0,66.0,33.0,106.0,251.0,205.0,86.0,1.0
