时间,time_delta_hours,time_diff_hours,取样结果_TFE
2023-03-26 18:00:00,16.0,1.0,83.502
2023-03-26 20:00:00,17.0,1.0,96.03
2023-03-26 21:00:00,18.0,1.0,98.19
2023-03-26 23:00:00,19.0,1.0,99.75
2023-03-27 00:00:00,20.0,1.0,99.954
2023-03-27 01:00:00,21.0,1.0,99.988
2023-03-27 03:00:00,22.0,1.0,99.995
2023-03-27 05:00:00,23.0,1.0,99.941
2023-03-27 06:00:00,24.0,1.0,99.99
2023-03-27 08:00:00,25.0,1.0,99.984
2023-03-27 09:30:00,26.0,1.0,99.991
2023-03-27 11:00:00,27.0,1.0,99.994
2023-03-27 12:00:00,28.0,1.0,99.989
2023-03-27 14:30:00,29.0,1.0,99.996
2023-03-27 16:00:00,30.0,1.0,99.995
2023-03-28 17:02:00,31.0,1.0,76.446
2023-03-28 19:00:00,32.0,1.0,93.048
2023-03-28 20:00:00,33.0,1.0,96.441
2023-03-28 21:00:00,34.0,1.0,98.687
2023-03-28 23:00:00,35.0,1.0,99.883
2023-03-29 00:12:00,36.0,1.0,99.95
2023-03-29 01:02:00,37.0,1.0,99.98
2023-03-29 02:56:00,38.0,1.0,99.993
2023-03-29 03:56:00,39.0,1.0,99.973
2023-03-29 07:00:00,40.0,1.0,99.994
2023-03-29 08:00:00,41.0,1.0,99.99
2023-03-29 09:00:00,42.0,1.0,99.988
2023-03-29 11:00:00,43.0,1.0,99.991
2023-03-29 11:20:00,44.0,1.0,99.989
2023-03-29 14:00:00,45.0,1.0,99.992
2023-03-29 15:00:00,46.0,1.0,99.987
2023-03-29 16:00:00,47.0,1.0,99.966
2023-03-30 09:00:00,48.0,1.0,77.972
2023-03-30 11:00:00,49.0,1.0,95.03
2023-03-30 12:00:00,50.0,1.0,98.45
2023-03-30 13:00:00,51.0,1.0,99.841
2023-03-30 15:00:00,52.0,1.0,99.984
2023-03-30 17:00:00,53.0,1.0,99.992
2023-03-30 18:00:00,54.0,1.0,99.938
2023-03-30 21:00:00,55.0,1.0,99.994
2023-03-30 22:00:00,56.0,1.0,99.989
2023-03-31 00:08:00,57.0,1.0,99.993
2023-03-31 02:57:00,58.0,1.0,99.98
2023-03-31 04:01:00,59.0,1.0,99.995
2023-04-01 11:00:00,60.0,1.0,91.73
2023-04-01 13:00:00,61.0,1.0,98.23
2023-04-01 15:00:00,62.0,1.0,99.84
2023-04-01 16:09:00,63.0,1.0,99.954
2023-04-01 18:06:00,64.0,1.0,99.992
2023-04-01 19:26:00,65.0,1.0,99.972
2023-04-01 20:54:00,66.0,1.0,99.996
2023-04-02 00:00:00,67.0,1.0,99.985
2023-04-02 02:00:00,68.0,1.0,99.99
2023-04-02 03:00:00,69.0,1.0,99.991
2023-04-02 05:00:00,70.0,1.0,99.994
2023-04-02 07:00:00,71.0,1.0,99.987
2023-04-02 08:36:00,72.0,1.0,99.98
2023-04-03 08:00:00,73.0,1.0,86.02
2023-04-03 10:00:00,74.0,1.0,96.105
2023-04-03 11:00:00,75.0,1.0,98.42
2023-04-03 12:00:00,76.0,1.0,99.79
2023-04-03 14:00:00,77.0,1.0,99.977
2023-04-03 15:00:00,78.0,1.0,99.983
2023-04-03 16:05:00,79.0,1.0,99.984
2023-04-03 17:00:00,80.0,1.0,99.989
2023-04-03 18:02:00,81.0,1.0,99.995
2023-04-03 19:59:00,82.0,1.0,99.994
2023-04-03 21:59:00,83.0,1.0,99.984
2023-04-04 00:05:00,84.0,1.0,99.989
2023-04-04 02:00:00,85.0,1.0,99.991
2023-04-04 03:00:00,86.0,1.0,99.989
2023-04-04 04:00:00,87.0,1.0,99.983
2023-04-04 05:00:00,88.0,1.0,99.989
2023-04-05 04:56:00,89.0,1.0,84.625
2023-04-05 07:00:00,90.0,1.0,96.219
2023-04-05 08:03:00,91.0,1.0,98.839
2023-04-05 09:58:00,92.0,1.0,98.846
2023-04-05 11:01:00,93.0,1.0,99.919
2023-04-05 12:07:00,94.0,1.0,99.979
2023-04-05 14:01:00,95.0,1.0,99.994
2023-04-05 16:05:00,96.0,1.0,99.993
2023-04-05 17:00:00,97.0,1.0,99.99
2023-04-05 19:00:00,98.0,1.0,99.993
2023-04-05 21:00:00,99.0,1.0,99.989
2023-04-05 23:00:00,100.0,1.0,99.994
2023-04-06 00:00:00,101.0,1.0,99.991
2023-04-06 02:00:00,102.0,1.0,99.99
2023-04-06 03:00:00,103.0,1.0,99.99
2023-04-07 19:00:00,104.0,1.0,65.52
2023-04-07 20:00:00,105.0,1.0,82.41
2023-04-07 22:00:00,106.0,1.0,94.89
2023-04-07 23:00:00,107.0,1.0,97.623
2023-04-08 00:00:00,108.0,1.0,99.264
2023-04-08 02:00:00,109.0,1.0,99.962
2023-04-08 04:00:00,110.0,1.0,99.993
2023-04-08 05:00:00,111.0,1.0,99.995
2023-04-08 07:00:00,112.0,1.0,99.978
2023-04-08 09:00:00,113.0,1.0,99.996
2023-04-08 13:00:00,114.0,1.0,99.99
2023-04-08 14:00:00,115.0,1.0,99.99
2023-04-08 15:00:00,116.0,1.0,99.991
2023-04-08 16:00:00,117.0,1.0,99.996
2023-04-08 17:00:00,118.0,1.0,99.994
2023-04-08 19:00:00,119.0,1.0,99.986
2023-04-08 20:00:00,120.0,1.0,99.992
2023-04-09 21:00:00,121.0,1.0,80.0
2023-04-09 23:00:00,122.0,1.0,92.2
2023-04-10 00:09:00,123.0,1.0,97.01
2023-04-10 01:02:00,124.0,1.0,98.38
2023-04-10 02:55:00,125.0,1.0,99.9
2023-04-10 05:01:00,126.0,1.0,99.987
2023-04-10 05:51:00,127.0,1.0,99.95
2023-04-10 08:00:00,128.0,1.0,99.994
2023-04-10 10:00:00,129.0,1.0,99.993
2023-04-10 11:00:00,130.0,1.0,99.988
2023-04-10 13:00:00,131.0,1.0,99.991
2023-04-10 15:00:00,132.0,1.0,99.986
2023-04-10 16:15:00,133.0,1.0,99.99
2023-04-10 18:04:00,134.0,1.0,99.989
2023-04-10 19:57:00,135.0,1.0,99.99
2023-04-11 19:00:00,136.0,1.0,87.25
2023-04-11 19:57:00,137.0,1.0,96.372
2023-04-11 21:00:00,138.0,1.0,98.19
